Key name,# values,# subkeys,Last write timestamp
vmmouse.sys|7763190e5045db7c,16,0,2022-02-06 13:00:35
vmrawdsk.sys|33f10d7154d83214,16,0,2022-02-06 13:00:35
vmtoolsd.exe|ab980160c33e8fa1,16,0,2022-02-06 13:00:35
vmtoolshookproc.|31be466ea5a8634d,16,0,2022-02-06 13:00:35
vmusbmouse.sys|b79386ce9d5a16af,16,0,2022-02-06 13:00:35
vmwarealiasimpor|c480ef8e8e3bb805,16,0,2022-02-06 13:00:35
vmwarehgfsclient|5dbd0044ff365649,16,0,2022-02-06 13:00:35
vmwarehostopen.e|6e1ac965be7cd7b,16,0,2022-02-06 13:00:35
vmwarenamespacec|192e9e96e007269e,16,0,2022-02-06 13:00:35
vmwareresolution|b989e8222044711a,16,0,2022-02-06 13:00:35
vmwaretoolboxcmd|21b0f195ba44ba50,16,0,2022-02-06 13:00:35
vmwarexferlogs.e|34c40321236337f,16,0,2022-02-06 13:00:35
vmxnet3.sys|42884f8c7ca40988,16,0,2022-02-06 13:00:35
vsock.sys|345876fa7c98a6f7,16,0,2022-02-06 13:00:35
waasmedicagent.e|464a27937f95d7d6,17,0,2022-02-13 03:54:47
weatherstub.exe|13907f747150d83c,18,0,2022-02-06 13:00:26
webviewhost.exe|f2e17213b682e68b,18,0,2022-02-06 13:00:35
wevtutil.exe|f1c7ea938fdf696d,17,0,2022-02-06 13:00:37
whatsnew.store.e|5a32b62a4954f4ac,17,0,2022-02-06 13:00:31
widgets.exe|972bbc4d0f90ef2a,18,0,2022-02-06 13:00:28
win32bridge.serv|9cef5ca996b6d38a,17,0,2022-02-06 13:00:32
windeploy.exe|3d482a077f170021,17,0,2022-02-06 13:00:37
windowscamera.ex|f9615df2b86a52dd,18,0,2022-02-06 13:00:30
