Registry Key,Change Type,Value Name,Value Data,Value Type,Data Length,Value Data Changed To,Value Type Changed To,Data Length Changed To,Key Modified Time 1,Key Modified Time 2
HKEY_LOCAL_MACHINE\System\ControlSet001\Control\Class\{75416e63-5912-4dfa-ae8f-3efaccaffb14}\Properties,Added Key,,,,,,,,,2021-06-05 12:10
HKEY_LOCAL_MACHINE\System\ControlSet001\Control\Class\{75416e63-5912-4dfa-ae8f-3efaccaffb14}\Properties\{6a3433f4-5626-40e8-a9b9-dbd9ecd2884b},Added Key,,,,,,,,,2021-06-05 12:09
HKEY_LOCAL_MACHINE\System\ControlSet001\Control\Class\{75416e63-5912-4dfa-ae8f-3efaccaffb14}\Properties\{6a3433f4-5626-40e8-a9b9-dbd9ecd2884b}\0003,Added Key,,,,,,,,,2021-06-05 12:10
HKEY_LOCAL_MACHINE\System\ControlSet001\Control\Class\{75416e63-5912-4dfa-ae8f-3efaccaffb14}\Properties\{6a3433f4-5626-40e8-a9b9-dbd9ecd2884b}\0006,Added Key,,,,,,,,,2021-06-05 12:09
HKEY_LOCAL_MACHINE\System\ControlSet001\Control\Class\{d94ee5d8-d189-4994-83d2-f68d7d41b0e6}\0000,Added Key,,,,,,,,,2021-12-25 00:36
HKEY_LOCAL_MACHINE\System\ControlSet001\Control\Cryptography\Configuration\Local\Default\00000001\CHACHA20_POLY1305,Added Key,,,,,,,,,2021-06-05 12:11
HKEY_LOCAL_MACHINE\System\ControlSet001\Control\Cryptography\Configuration\Local\Default\00010002\TLS_CHACHA20_POLY1305_SHA256,Added Key,,,,,,,,,2021-06-05 12:11
HKEY_LOCAL_MACHINE\System\ControlSet001\Control\Cryptography\Ngc\AIKCertEnroll,Added Key,,,,,,,,,2021-12-25 00:37
HKEY_LOCAL_MACHINE\System\ControlSet001\Control\Cryptography\Ngc\PregenKeys,Added Key,,,,,,,,,2021-12-25 00:37
HKEY_LOCAL_MACHINE\System\ControlSet001\Control\Cryptography\Ngc\PregenKeys\AIK,Added Key,,,,,,,,,2021-12-25 00:37
HKEY_LOCAL_MACHINE\System\ControlSet001\Control\Cryptography\Ngc\PregenKeys\AIK\AIK-9bf5ef25-0842-b8fe-aed4-86f4dc88b619,Added Key,,,,,,,,,2021-12-25 00:37
HKEY_LOCAL_MACHINE\System\ControlSet001\Control\Cryptography\Ngc\PregenKeys\KeyD,Added Key,,,,,,,,,2021-12-25 00:37
HKEY_LOCAL_MACHINE\System\ControlSet001\Control\Cryptography\Ngc\PregenKeys\KeyG,Added Key,,,,,,,,,2021-12-25 00:37
HKEY_LOCAL_MACHINE\System\ControlSet001\Control\Cryptography\Ngc\PregenKeys\KeyG\KeyG-54b8e8c8-68f5-fd34-37ca-5bceb8a608b2,Added Key,,,,,,,,,2021-12-25 00:37
HKEY_LOCAL_MACHINE\System\ControlSet001\Control\Cryptography\Ngc\PregenKeys\KeyS,Added Key,,,,,,,,,2021-12-25 00:37
HKEY_LOCAL_MACHINE\System\ControlSet001\Control\Cryptography\Ngc\PregenKeys\PinG,Added Key,,,,,,,,,2021-12-25 00:37
HKEY_LOCAL_MACHINE\System\ControlSet001\Control\Cryptography\Ngc\PregenKeys\SK,Added Key,,,,,,,,,2021-12-25 00:37
HKEY_LOCAL_MACHINE\System\ControlSet001\Control\Cryptography\Ngc\PregenKeys\SK\SK-b96b0ea5-67fa-3cf5-97ef-747c1b8e136e,Added Key,,,,,,,,,2021-12-25 00:37
HKEY_LOCAL_MACHINE\System\ControlSet001\Control\DeviceClasses\{0850302a-b344-4fda-9be9-90576b8d46f0}\##?#USB#VID_0E0F&PID_0008#000650268328#{0850302a-b344-4fda-9be9-90576b8d46f0}\#\Properties\{a92f26ca-eda7-4b1d-9db2-27b68aa5a2eb}\0015,Added Key,,,,,,,,,2021-12-25 00:36
HKEY_LOCAL_MACHINE\System\ControlSet001\Control\DeviceClasses\{0ecef634-6ef0-472a-8085-5ad023ecbccd}\##?#SWD#PRINTENUM#{17A10C86-DFB1-40B3-B950-648678ED3344}#{0ecef634-6ef0-472a-8085-5ad023ecbccd},Added Key,,,,,,,,,2021-12-25 00:40
HKEY_LOCAL_MACHINE\System\ControlSet001\Control\DeviceClasses\{0ecef634-6ef0-472a-8085-5ad023ecbccd}\##?#SWD#PRINTENUM#{17A10C86-DFB1-40B3-B950-648678ED3344}#{0ecef634-6ef0-472a-8085-5ad023ecbccd}\#,Added Key,,,,,,,,,2021-12-25 00:40
HKEY_LOCAL_MACHINE\System\ControlSet001\Control\DeviceClasses\{0ecef634-6ef0-472a-8085-5ad023ecbccd}\##?#SWD#PRINTENUM#{17A10C86-DFB1-40B3-B950-648678ED3344}#{0ecef634-6ef0-472a-8085-5ad023ecbccd}\#\Device Parameters,Added Key,,,,,,,,,2021-12-25 00:40
HKEY_LOCAL_MACHINE\System\ControlSet001\Control\DeviceClasses\{0ecef634-6ef0-472a-8085-5ad023ecbccd}\##?#SWD#PRINTENUM#{17A10C86-DFB1-40B3-B950-648678ED3344}#{0ecef634-6ef0-472a-8085-5ad023ecbccd}\#\Properties,Added Key,,,,,,,,,2021-12-25 00:40
HKEY_LOCAL_MACHINE\System\ControlSet001\Control\DeviceClasses\{0ecef634-6ef0-472a-8085-5ad023ecbccd}\##?#SWD#PRINTENUM#{17A10C86-DFB1-40B3-B950-648678ED3344}#{0ecef634-6ef0-472a-8085-5ad023ecbccd}\#\Properties\{0a7b84ef-0c27-463f-84ef-06c5070001be},Added Key,,,,,,,,,2021-12-25 00:40
HKEY_LOCAL_MACHINE\System\ControlSet001\Control\DeviceClasses\{0ecef634-6ef0-472a-8085-5ad023ecbccd}\##?#SWD#PRINTENUM#{17A10C86-DFB1-40B3-B950-648678ED3344}#{0ecef634-6ef0-472a-8085-5ad023ecbccd}\#\Properties\{0a7b84ef-0c27-463f-84ef-06c5070001be}\000A,Added Key,,,,,,,,,2021-12-25 00:40
HKEY_LOCAL_MACHINE\System\ControlSet001\Control\DeviceClasses\{0ecef634-6ef0-472a-8085-5ad023ecbccd}\##?#SWD#PRINTENUM#{17A10C86-DFB1-40B3-B950-648678ED3344}#{0ecef634-6ef0-472a-8085-5ad023ecbccd}\#\Properties\{847c66de-b8d6-4af9-abc3-6f4f926bc039},Added Key,,,,,,,,,2021-12-25 00:40
HKEY_LOCAL_MACHINE\System\ControlSet001\Control\DeviceClasses\{0ecef634-6ef0-472a-8085-5ad023ecbccd}\##?#SWD#PRINTENUM#{17A10C86-DFB1-40B3-B950-648678ED3344}#{0ecef634-6ef0-472a-8085-5ad023ecbccd}\#\Properties\{847c66de-b8d6-4af9-abc3-6f4f926bc039}\000E,Added Key,,,,,,,,,2021-12-25 00:40
